question,answer,llm_answer,is_correct
"On a weekend road trip, the Jensen family drove 210 miles on highways, where their car gets 35 miles for each gallon of gas and 54 miles on city streets where their car gets 18 miles for each gallon. How many gallons of gas did they use?","On highways, the Jensen family used 210 miles / 35 miles/gallon = <<210/35=6>>6 gallons of gas.
On city streets, the Jensen family used 54 miles / 18 miles/gallon = <<54/18=3>>3 gallons of gas.
Total, the Jensen family used 6 gallons + 3 gallons = <<6+3=9>>9 gallons of gas.
#### 9","Let $d_h$ be the distance driven on highways and $d_c$ be the distance driven on city streets.
Let $mpg_h$ be the miles per gallon on highways and $mpg_c$ be the miles per gallon on city streets.
Let $g_h$ be the gallons of gas used on highways and $g_c$ be the gallons of gas used on city streets.

We are given:
$d_h = 210$ miles
$mpg_h = 35$ miles per gallon
$d_c = 54$ miles
$mpg_c = 18$ miles per gallon

The formula to calculate the gallons of gas used is:
Gallons = Distance / Miles per gallon

First, calculate the gallons of gas used on highways:
$g_h = d_h / mpg_h$
$g_h = 210 \text{ miles} / 35 \text{ miles/gallon}$
$g_h = 6$ gallons

Next, calculate the gallons of gas used on city streets:
$g_c = d_c / mpg_c$
$g_c = 54 \text{ miles} / 18 \text{ miles/gallon}$
$g_c = 3$ gallons

To find the total number of gallons of gas used, we add the gallons used on highways and the gallons used on city streets:
Total gallons = $g_h + g_c$
Total gallons = $6 \text{ gallons} + 3 \text{ gallons}$
Total gallons = $9$ gallons

####
9",True
"A pumpkin patch allows people to come pick pumpkins to carve in the fall every year. They charge $3 per person for a pumpkin. The remaining pumpkins get turned into cans of pie filling, 3 pumpkins to a can. They grew 83 pumpkins this year and made $96 selling pumpkins for carving. How many cans of pie filling will the pumpkin patch produce?","The pumpkin patch sold 96 / 3 = <<96/3=32>>32 pumpkins.
They have 83 - 32 = <<83-32=51>>51 pumpkins left.
Thus, the pumpkin patch will produce 51 / 3 = <<51/3=17>>17 cans of pie filling.
#### 17","Here's how to solve the problem step-by-step:

1.  **Find out how many pumpkins were sold for carving:**
    The pumpkin patch made $96 selling pumpkins for carving, and each pumpkin costs $3.
    Number of pumpkins sold = Total earnings / Price per pumpkin
    Number of pumpkins sold = $96 / $3 = 32 pumpkins

2.  **Find out how many pumpkins were left for pie filling:**
    The patch grew a total of 83 pumpkins, and 32 were sold for carving.
    Pumpkins for pie filling = Total pumpkins grown - Pumpkins sold
    Pumpkins for pie filling = 83 - 32 = 51 pumpkins

3.  **Calculate the number of cans of pie filling:**
    It takes 3 pumpkins to make one can of pie filling.
    Number of cans = Pumpkins for pie filling / Pumpkins per can
    Number of cans = 51 / 3 = 17 cans

####
17",True
"A bag of pistachios has 80 pistachios in it.  95 percent have shells, and 75 percent of those have shells that are opened.  How many pistachios in the bag have shells and have an opened shell?","Shells:80(.95)=76
Opened Shells:76(.75)=57
#### 57","Let $T$ be the total number of pistachios in the bag.
We are given that $T = 80$.

Let $S$ be the number of pistachios that have shells.
We are given that 95 percent of the pistachios have shells.
So, $S = 0.95 \times T$.
$S = 0.95 \times 80$.
$S = 76$.

Let $O$ be the number of pistachios that have shells and have opened shells.
We are given that 75 percent of those with shells have opened shells.
So, $O = 0.75 \times S$.
$O = 0.75 \times 76$.

To calculate $0.75 \times 76$:
$0.75 = \frac{3}{4}$.
So, $O = \frac{3}{4} \times 76$.
$O = 3 \times \frac{76}{4}$.
$O = 3 \times 19$.
$O = 57$.

Alternatively, we can multiply directly:
$0.75 \times 76 = (0.70 + 0.05) \times 76$
$= (0.70 \times 76) + (0.05 \times 76)$
$= (7 \times 7.6) + (5 \times 0.76)$
$= 53.2 + 3.8$
$= 57$.

So, there are 57 pistachios in the bag that have shells and have an opened shell.

####
57",True
"Dante needs half as many cups of flour to bake his chocolate cake as he needs eggs. If he uses 60 eggs in his recipe, calculate the total number of cups of flour and eggs that he uses altogether.","Dante needs half as many cups of flour to bake his chocolate cake as he needs eggs, meaning he needs 60/2 = <<60/2=30>>30 cups of flour for his recipe.
Altogether, Dante needs 30+60 = <<30+60=90>>90 eggs and cups of flour for his recipe.
#### 90","Let $E$ be the number of eggs Dante uses.
Let $F$ be the number of cups of flour Dante uses.

We are given that Dante needs half as many cups of flour as he needs eggs. This can be written as an equation:
$F = \frac{1}{2} E$

We are also given that Dante uses 60 eggs. So, $E = 60$.

Now we can find the number of cups of flour Dante uses by substituting the value of $E$ into the equation:
$F = \frac{1}{2} \times 60$
$F = 30$

So, Dante uses 30 cups of flour.

The question asks for the total number of cups of flour and eggs that he uses altogether. This means we need to find the sum of the number of eggs and the number of cups of flour:
Total = Number of eggs + Number of cups of flour
Total = $E + F$

Substitute the values of $E$ and $F$ into the equation:
Total = $60 + 30$
Total = $90$

Therefore, Dante uses a total of 90 cups of flour and eggs altogether.

####
90",True
"Michael is stuck in an elevator that is slowly moving to the bottom floor. The elevator needs to move down 20 floors to reach the bottom. It takes 15 minutes for the elevator to travel down the first half of the floors. The elevator then takes 5 minutes per floor to travel down the next 5 floors. It then takes 16 minutes per floor for the elevator to finish traveling down the final 5 floors. In hours, how long did it take for the elevator to reach the bottom?","Over 5 of the floors, it takes the elevator 5 floors * 5 minutes per floor = <<5*5=25>>25 minutes to lower.
Over the final 5 floors, it takes the elevator 5 floors * 16 minutes per floor = <<5*16=80>>80 minutes to lower.
So in total, the elevator takes 15 minutes in the first half + 25 minutes in the next five floors + 80 minutes in the final five floors = <<15+25+80=120>>120 minutes to lower to the bottom.
This is the same as 120 minutes / 60 minutes per hour = <<120/60=2>>2 hours.
#### 2","The elevator needs to travel down a total of 20 floors.

**Step 1: Calculate the time taken for the first half of the floors.**
The first half of the floors is 20 floors / 2 = 10 floors.
The time taken for the first 10 floors is given as 15 minutes.

**Step 2: Calculate the time taken for the next 5 floors.**
The elevator takes 5 minutes per floor for the next 5 floors.
Time taken for these 5 floors = 5 floors * 5 minutes/floor = 25 minutes.

**Step 3: Calculate the time taken for the final 5 floors.**
The elevator takes 16 minutes per floor for the final 5 floors.
Time taken for these 5 floors = 5 floors * 16 minutes/floor = 80 minutes.

**Step 4: Calculate the total time in minutes.**
Total time in minutes = Time for first 10 floors + Time for next 5 floors + Time for final 5 floors
Total time in minutes = 15 minutes + 25 minutes + 80 minutes = 120 minutes.

**Step 5: Convert the total time from minutes to hours.**
There are 60 minutes in 1 hour.
Total time in hours = Total time in minutes / 60 minutes/hour
Total time in hours = 120 minutes / 60 minutes/hour = 2 hours.

####
2",True
"Allison went to the craft store with her friend Marie to buy some glue sticks and construction paper. Allison bought 8 more glue sticks than Marie, but Marie bought six times as many packs of construction paper as Allison. If Marie bought 15 glue sticks and 30 packs of construction paper how many craft supply items did Allison buy all together?","Allison bought 8+15=<<8+15=23>>23 glue sticks
Allison bought 30/6=<<30/6=5>>5 packs of construction paper.
Allison bought 23+5= <<23+5=28>>28 craft supply items
#### 28","Let $A_g$ be the number of glue sticks Allison bought.
Let $M_g$ be the number of glue sticks Marie bought.
Let $A_c$ be the number of packs of construction paper Allison bought.
Let $M_c$ be the number of packs of construction paper Marie bought.

We are given the following information:
1. Allison bought 8 more glue sticks than Marie: $A_g = M_g + 8$
2. Marie bought six times as many packs of construction paper as Allison: $M_c = 6 \times A_c$
3. Marie bought 15 glue sticks: $M_g = 15$
4. Marie bought 30 packs of construction paper: $M_c = 30$

We need to find the total number of craft supply items Allison bought, which is $A_g + A_c$.

First, let's find the number of glue sticks Allison bought.
We know $M_g = 15$ and $A_g = M_g + 8$.
Substituting the value of $M_g$:
$A_g = 15 + 8$
$A_g = 23$

Next, let's find the number of packs of construction paper Allison bought.
We know $M_c = 30$ and $M_c = 6 \times A_c$.
Substituting the value of $M_c$:
$30 = 6 \times A_c$
To find $A_c$, divide both sides by 6:
$A_c = \frac{30}{6}$
$A_c = 5$

Finally, let's find the total number of craft supply items Allison bought.
Total items for Allison = $A_g + A_c$
Total items for Allison = $23 + 5$
Total items for Allison = $28$

####
28",True
James turned 23 the same time John turned 35.  Tim is 5 years less than twice John's age.  If Tim is 79 how old is James?,"James is 35-23=<<35-23=12>>12 years younger than John
5 years less than Tim's age is 79-5=74 years old
So John is 74/2=<<74/2=37>>37 years old
That means James is 37-12=<<37-12=25>>25 years old
#### 25","Let J be James's age, H be John's age, and T be Tim's age.

We are given the following information:
1. James turned 23 the same time John turned 35. This means that at a specific point in time, James's age was 23 and John's age was 35. This implies a constant age difference between them.
   Age difference = John's age - James's age = 35 - 23 = 12 years.
   So, John is always 12 years older than James. This can be written as:
   H = J + 12

2. Tim is 5 years less than twice John's age. This can be written as an equation:
   T = 2 * H - 5

3. Tim is 79 years old. So, T = 79.

Now we need to find James's age (J).

Step 1: Use the information about Tim's age to find John's age.
We know T = 79 and T = 2 * H - 5.
Substitute the value of T into the equation:
79 = 2 * H - 5

Add 5 to both sides of the equation:
79 + 5 = 2 * H
84 = 2 * H

Divide both sides by 2 to solve for H:
H = 84 / 2
H = 42

So, John is 42 years old.

Step 2: Use the relationship between John's age and James's age to find James's age.
We know that John is always 12 years older than James, which means H = J + 12.
We found that John's age (H) is 42. Substitute this value into the equation:
42 = J + 12

Subtract 12 from both sides of the equation to solve for J:
J = 42 - 12
J = 30

So, James is 30 years old.

####
30",False
"Antonia is trying to improve her health by buying supplements. She has a 7-day pill box she wants to fill. She buys 5 different supplements. 3 of the bottles have 120 pills in them each. 2 of the bottles have 30 pills each. After Antonia has filled her pillbox with one pill of each supplement for 2 weeks, how many pills total does she have left from all 5 bottles?","Antonia buys 5 different supplements where 3 bottles have 120 pills per bottle, so she has 120 pills x 3 bottles = 360 pills.
2 of the bottles Antonia buys have 30 pills each x 2 bottles = <<30*2=60>>60 pills.
She has purchased 360 pills + 60 pills = <<360+60=420>>420 pills total in the 5 bottles.
Antonia has filled her 7-day pill box for 2 weeks, so 7 days x 2 weeks = <<7*2=14>>14 days.
On each of the 14 days she fills it with 5 pills, so after 14 days she has used 14 x 5 = <<14*5=70>>70 pills.
Since Antonia had 420 total pills in all 5 bottles and then she fills her pillbox with 70 pills, she has 420 - 70 = <<420-70=350>>350 pills.
Antonia will have 350 pills left after 2 weeks.
#### 350","Here's how to solve the problem step-by-step:

1.  **Calculate the total number of pills initially:**
    *   3 bottles * 120 pills/bottle = 360 pills
    *   2 bottles * 30 pills/bottle = 60 pills
    *   Total initial pills = 360 + 60 = 420 pills

2.  **Determine how many pills Antonia uses per day:**
    *   She takes one pill of each of the 5 supplements.
    *   Pills used per day = 5 pills

3.  **Determine the total number of days Antonia takes the pills:**
    *   She fills her pillbox for 2 weeks.
    *   Number of days = 2 weeks * 7 days/week = 14 days

4.  **Calculate the total number of pills Antonia uses:**
    *   Total pills used = 5 pills/day * 14 days = 70 pills

5.  **Calculate the number of pills remaining:**
    *   Pills left = Total initial pills - Total pills used
    *   Pills left = 420 - 70 = 350 pills

####
350",True
"Brendan can cut 8 yards of grass per day, he bought a lawnmower and it helped him to cut more yards by Fifty percent per day. How many yards will Brendan be able to cut after a week?","The additional yard Brendan can cut after buying the lawnmower is 8 x 0.50 = <<8*0.50=4>>4 yards.
So, the total yards he can cut with the lawnmower is 8 + 4 = <<8+4=12>>12.
Therefore, the total number of yards he can cut in a week is 12 x 7 = <<12*7=84>>84 yards.
#### 84","Brendan can cut 8 yards of grass per day.
The lawnmower helped him to cut more yards by Fifty percent per day.
Fifty percent of 8 yards is $0.50 \times 8 = 4$ yards.
So, Brendan can now cut $8 + 4 = 12$ yards of grass per day.
A week has 7 days.
Therefore, in a week, Brendan will be able to cut $12 \text{ yards/day} \times 7 \text{ days} = 84$ yards of grass.

####
84",True
"At a roller derby, 4 teams are competing. Each team is made up of 10 members, and each member needs a pair of roller skates to compete in and another pair of skates as a backup. None of the skates have laces yet, so each member is offered 3 sets of laces per pair of skates. How many sets of laces have been handed out?","There are a total of 4 teams * 10 members per team = <<4*10=40>>40 team members.
Each person receives 1 pair of competing roller skates + 1 pair of backup roller skates = <<1+1=2>>2 pairs of roller skates.
So there are a total of 40 team members * 2 pairs of roller skates per team member = <<40*2=80>>80 roller skates.
There were therefore 80 roller skates * 3 sets of laces per pair of roller skates = <<80*3=240>>240 sets of laces handed out.
#### 240","Here's how to solve the problem step-by-step:

1.  **Calculate the total number of pairs of skates needed:**
    *   There are 4 teams.
    *   Each team has 10 members.
    *   So, the total number of members is 4 teams * 10 members/team = 40 members.
    *   Each member needs 2 pairs of skates (one to compete, one backup).
    *   Therefore, the total number of pairs of skates needed is 40 members * 2 pairs/member = 80 pairs of skates.

2.  **Calculate the total number of sets of laces needed:**
    *   Each pair of skates needs 3 sets of laces.
    *   We have 80 pairs of skates.
    *   So, the total number of sets of laces needed is 80 pairs of skates * 3 sets/pair = 240 sets of laces.

####
240",True
"Over several years, Daniel has adopted any stray animals he sees on the side of the road.  He now has 2 horses, 5 dogs, 7 cats, 3 turtles, and 1 goat.  All of the animals are perfectly healthy.  In total, how many legs do his animals have?","He has 2 horses, 5 dogs, 7 cats, 3 turtles and 1 goat so in total he has 2+5+7+3+1 = <<2+5+7+3+1=18>>18 animal
Each animal has 4 legs so 18*4 = <<18*4=72>>72 legs total
#### 72","Here's how to solve the problem step-by-step:

1.  **Identify the number of each type of animal:**
    *   Horses: 2
    *   Dogs: 5
    *   Cats: 7
    *   Turtles: 3
    *   Goat: 1

2.  **Determine the number of legs each type of animal has:**
    *   Horses have 4 legs.
    *   Dogs have 4 legs.
    *   Cats have 4 legs.
    *   Turtles have 4 legs.
    *   Goats have 4 legs.

3.  **Calculate the total number of legs for each animal type:**
    *   Horses: 2 horses * 4 legs/horse = 8 legs
    *   Dogs: 5 dogs * 4 legs/dog = 20 legs
    *   Cats: 7 cats * 4 legs/cat = 28 legs
    *   Turtles: 3 turtles * 4 legs/turtle = 12 legs
    *   Goat: 1 goat * 4 legs/goat = 4 legs

4.  **Sum the total number of legs from all animal types:**
    *   Total legs = 8 (horses) + 20 (dogs) + 28 (cats) + 12 (turtles) + 4 (goat)
    *   Total legs = 72 legs

####
72",True
"Sam the butcher made sausage by grinding up 10 pounds of spicy meat mix, loading it into a tube casing, and creating a string of 40 sausage links. Then, she hung up the string of sausage links in her cooler.  Later that evening, Brandy, Sam’s Golden Retriever, broke into the cooler and ate 12 links of sausage.  After Brandy’s feast, how many ounces of sausage meat were contained in the remaining links?","There are 16 ounces in one pound, and thus in 10 pounds of meat mix there are 10*16=<<10*16=160>>160 ounces of sausage meat.
Thus, the 40 sausage links contained 160 ounces of meat, or 160/40=<<160/40=4>>4 ounces per link.
If Brandy ate 12 links, then 40-12=<<40-12=28>>28 links remained.
Thus, 28 remaining links, at 4 ounces per link, contained 28*4=<<28*4=112>>112 ounces of meat.
#### 112","Here's how to solve the problem step-by-step:

1.  **Calculate the total weight of the sausage in ounces:**
    *   Sam started with 10 pounds of meat.
    *   There are 16 ounces in 1 pound.
    *   Total ounces = 10 pounds * 16 ounces/pound = 160 ounces.

2.  **Calculate the weight of each sausage link:**
    *   The 160 ounces of sausage were divided into 40 links.
    *   Weight per link = 160 ounces / 40 links = 4 ounces/link.

3.  **Calculate the number of remaining sausage links:**
    *   Sam made 40 links.
    *   Brandy ate 12 links.
    *   Remaining links = 40 links - 12 links = 28 links.

4.  **Calculate the total weight of the remaining sausage links in ounces:**
    *   There are 28 remaining links.
    *   Each link weighs 4 ounces.
    *   Total remaining ounces = 28 links * 4 ounces/link = 112 ounces.

####
112",True
"Joe had 200 data points on his dataset. He then added 20% more data points to the dataset. If he reduced the data points by 1/4 of the total data points, calculate the total number of data points the dataset contains.","When Joe added 20% more data points to the dataset, the data points in the dataset increased by 20/100*200 = <<20/100*200=40>>40 data points.
The total number of data points increased to 200+40 = <<200+40=240>>240
If he reduced the data points by 1/4 of the total data points, the data points reduced by 1/4*240 =60
The total number of data points left in the dataset after Joe reduced the data points by 1/4 of the total data points is 240-60= <<240-60=180>>180
#### 180","Joe started with 200 data points.
He added 20% more data points.
To calculate the number of data points added, we find 20% of 200:
20% of 200 = (20/100) * 200 = 0.20 * 200 = 40 data points.

The total number of data points after adding more is:
Initial data points + added data points = 200 + 40 = 240 data points.

Next, Joe reduced the data points by 1/4 of the total data points. The total data points at this stage are 240.
To calculate the number of data points reduced, we find 1/4 of 240:
(1/4) * 240 = 240 / 4 = 60 data points.

The final number of data points in the dataset is:
Total data points after adding - data points reduced = 240 - 60 = 180 data points.

####
180",True
The selling price of a bicycle that had sold for $220 last year was increased by 15%. What is the new price?,"The price of the bicycle increased by $220 * 15/100 = $<<220*15/100=33>>33.
Adding the increment price, the new price is $220 + $33 = $<<220+33=253>>253.
#### 253","Let the original selling price of the bicycle be $P$.
We are given that the original selling price last year was $P = \$220$.

The selling price was increased by 15%.
This means the increase in price is 15% of the original price.

Calculate the amount of the increase:
Increase amount = 15% of $220
Increase amount = $\frac{15}{100} \times 220$

To calculate this, we can multiply 15 by 220 and then divide by 100, or we can simplify the fraction first.
$\frac{15}{100} = \frac{3 \times 5}{20 \times 5} = \frac{3}{20}$

So, Increase amount = $\frac{3}{20} \times 220$
Increase amount = $3 \times \frac{220}{20}$
Increase amount = $3 \times 11$
Increase amount = $33$

The increase in price is $33.

The new price is the original price plus the increase amount.
New Price = Original Price + Increase Amount
New Price = $220 + 33$
New Price = $253$

Alternatively, we can calculate the new price directly.
An increase of 15% means the new price will be 100% of the original price plus an additional 15% of the original price.
So, the new price will be 100% + 15% = 115% of the original price.

New Price = 115% of $220
New Price = $\frac{115}{100} \times 220$

We can simplify the fraction $\frac{115}{100}$ by dividing both numerator and denominator by 5:
$\frac{115}{100} = \frac{23 \times 5}{20 \times 5} = \frac{23}{20}$

So, New Price = $\frac{23}{20} \times 220$
New Price = $23 \times \frac{220}{20}$
New Price = $23 \times 11$

To calculate $23 \times 11$:
$23 \times 10 = 230$
$23 \times 1 = 23$
$230 + 23 = 253$

So, the new price is $253.

####
$253",True
"Meadow has a business that sells baby diapers to her local townspeople. She orders 30 boxes of diapers containing 40 packs weekly, with each pack having 160 diapers. She sells each diaper for $5. How much money is Meadow making from selling all her diapers?","When she orders 30 boxes, the total number of packs in the boxes is 30*40 = <<30*40=1200>>1200 packs.
If a pack has 160 diapers, 1200 packs contain 1200*160 = <<1200*160=192000>>192000 diapers.
After selling all the diapers, Meadow gets 192000*$5 = $<<192000*5=960000>>960000
#### 960000","Here's how to solve the problem step-by-step:

1.  **Calculate the total number of packs of diapers Meadow orders per week:**
    Meadow orders 30 boxes, and each box contains 40 packs.
    Total packs = 30 boxes * 40 packs/box = 1200 packs

2.  **Calculate the total number of diapers Meadow orders per week:**
    Meadow has 1200 packs, and each pack has 160 diapers.
    Total diapers = 1200 packs * 160 diapers/pack = 192,000 diapers

3.  **Calculate the total revenue from selling all the diapers:**
    Meadow sells each diaper for $5.
    Total revenue = 192,000 diapers * $5/diaper = $960,000

####
$960,000",True
Percy swims 1 hour before school and 1 after school 5 days a week.  He swims 3 hours on the weekend.  How many hours of swimming does he do over 4 weeks?,"He swims 1 hour before and after school for a total of 1+1 = <<1+1=2>>2 hours
He swims 2 hours a day for 5 days for a total of 2*5 = <<2*5=10>>10 hours
He also swims an additional 3 hours on the weekend so 10+3 = <<10+3=13>>13 hours
Over a course of 4 weeks, at 13 hours per week, he swims 4*13 = <<4*13=52>>52 hours
#### 52","Let's think step by step.

First, calculate the total swimming time per weekday.
Percy swims 1 hour before school and 1 hour after school, which is 1 + 1 = 2 hours per weekday.

Next, calculate the total swimming time for weekdays over 5 days.
Since he swims 2 hours per weekday and does this for 5 days a week, the total weekday swimming is 2 hours/day * 5 days/week = 10 hours per week.

Then, calculate the total swimming time for the weekend.
Percy swims 3 hours on the weekend.

Now, calculate the total swimming time per week.
This is the sum of weekday swimming and weekend swimming: 10 hours/week + 3 hours/week = 13 hours per week.

Finally, calculate the total swimming time over 4 weeks.
Since he swims 13 hours per week and we want to know the total over 4 weeks, we multiply: 13 hours/week * 4 weeks = 52 hours.

####
52",True
"If the sum of two numbers is 33, and if the second number is twice the first number, what is the second number?","The first number is 33/3=<<33/3=11>>11.
The second number is 11*2=<<11*2=22>>22.
#### 22","Let the first number be $x$.
Let the second number be $y$.

We are given two pieces of information:
1. The sum of the two numbers is 33. This can be written as an equation:
$x + y = 33$

2. The second number is twice the first number. This can be written as an equation:
$y = 2x$

Now we have a system of two linear equations with two variables:
Equation 1: $x + y = 33$
Equation 2: $y = 2x$

We can use the substitution method to solve this system. Since Equation 2 already gives us an expression for $y$ in terms of $x$, we can substitute this expression into Equation 1.

Substitute $y = 2x$ into Equation 1:
$x + (2x) = 33$

Now, combine the like terms on the left side of the equation:
$3x = 33$

To solve for $x$, divide both sides of the equation by 3:
$x = \frac{33}{3}$
$x = 11$

So, the first number is 11.

The question asks for the second number, which is $y$. We can find $y$ by using Equation 2 ($y = 2x$) and the value of $x$ we just found.

Substitute $x = 11$ into Equation 2:
$y = 2 * 11$
$y = 22$

So, the second number is 22.

We can check our answer by plugging both numbers back into the original conditions:
1. Sum of the two numbers: $11 + 22 = 33$. This is correct.
2. The second number is twice the first number: $22 = 2 * 11$. This is also correct.

####
22",True
Matthew drinks 4 glasses of water per day. Each glass is 5 ounces. He decides to just buy a 35 ounces water bottle. How many times will he fill it each week?,"He drinks 20 ounces of water a day because 4 x 5 = <<4*5=20>>20
The drinks 140 ounces in a week because 7 x 20 = <<7*20=140>>140
He will fill it up 4 times because 140 / 35 = <<140/35=4>>4
#### 4","Matthew drinks 4 glasses of water per day.
Each glass is 5 ounces.
So, the total amount of water Matthew drinks per day is $4 \text{ glasses} \times 5 \text{ ounces/glass} = 20 \text{ ounces}$.

There are 7 days in a week.
So, the total amount of water Matthew drinks per week is $20 \text{ ounces/day} \times 7 \text{ days/week} = 140 \text{ ounces}$.

Matthew buys a 35 ounces water bottle.
To find out how many times he will fill the bottle each week, we need to divide the total amount of water he drinks per week by the capacity of the water bottle.
Number of times he fills the bottle per week = $\frac{\text{Total ounces of water drunk per week}}{\text{Capacity of the water bottle}}$
Number of times he fills the bottle per week = $\frac{140 \text{ ounces}}{35 \text{ ounces/bottle}}$

Now, we perform the division:
$140 \div 35$

We can simplify this division. We know that $35 \times 2 = 70$, and $70 \times 2 = 140$.
So, $35 \times 4 = 140$.

Therefore, Matthew will fill the 35 ounces water bottle 4 times each week.

####
4",True
"Cathy and Chris got summer jobs at the cake shop and were supposed to work 20 hours per week each for 2 months. During that time, Chris got sick for one week and Cathy took her shifts. If there are four weeks in a month, how many hours did Cathy work during the 2 months?","There are 4 weeks in a month so Cathy and Chris were supposed to work for 4 weeks/month x 2 months = <<4*2=8>>8 weeks each.
Since Chris got sick then Chris was only able to work for 8 weeks - 1 week = 7 weeks while Cathy worked for 8 weeks + 1 week = 9 weeks.
Therefore, Cathy worked for 9 weeks x 20 hours/week = <<9*20=180>>180 hours.
#### 180","Let's think step by step.

First, we need to determine the total number of weeks Cathy was supposed to work.
There are 2 months, and each month has 4 weeks.
So, the total number of weeks Cathy was supposed to work is $2 \text{ months} \times 4 \text{ weeks/month} = 8 \text{ weeks}$.

Next, we need to determine the number of hours Cathy was supposed to work per week.
Cathy was supposed to work 20 hours per week.

Now, we can calculate the total hours Cathy was supposed to work if she hadn't taken on extra shifts.
Total scheduled hours for Cathy = $8 \text{ weeks} \times 20 \text{ hours/week} = 160 \text{ hours}$.

We are told that Chris got sick for one week and Cathy took her shifts.
This means Cathy worked an additional week's worth of shifts.
The number of hours Chris was supposed to work per week is also 20 hours.
So, Cathy worked an extra 20 hours.

To find the total hours Cathy worked, we add the extra hours she worked to her scheduled hours.
Total hours Cathy worked = Total scheduled hours for Cathy + Extra hours worked by Cathy
Total hours Cathy worked = $160 \text{ hours} + 20 \text{ hours} = 180 \text{ hours}$.

Alternatively, we can calculate the total number of weeks Cathy worked.
Cathy was scheduled to work for 8 weeks.
She took on Chris's shifts for 1 week.
So, Cathy worked for a total of $8 \text{ weeks} + 1 \text{ week} = 9 \text{ weeks}$.

Then, we calculate the total hours Cathy worked based on the total number of weeks she worked.
Total hours Cathy worked = $9 \text{ weeks} \times 20 \text{ hours/week} = 180 \text{ hours}$.

####
180",True
"Martha buys 1 latte for $4.00 every morning, 5 days a week.  3 days a week, she buys an iced coffee for $2.00.  Her goal for the entire year is to cut her coffee spending by 25%.  How much will she save?","She buys a $4.00 latte in the morning for 5 days so that’s 4*5 = $<<4*5=20.00>>20.00
She buys a $2.00 iced coffee 3 days a week so that’s 2*3 = $<<2*3=6.00>>6.00
In one week she spends $20.00 on lattes and $6.00 on iced coffee for a total of 20+6 = $<<20+6=26.00>>26.00
After 1 year, 52 weeks, she spends 52*26 = $<<52*26=1352.00>>1,352.00
She wants to cut her coffee spending by 25% so that will save her .25*1352 = $<<.25*1352=338.00>>338.00
#### 338","Here's how to solve the problem step-by-step:

1.  **Calculate weekly latte cost:**
    Martha buys 1 latte for $4.00, 5 days a week.
    Weekly latte cost = 1 latte/day * $4.00/latte * 5 days/week = $20.00

2.  **Calculate weekly iced coffee cost:**
    Martha buys 1 iced coffee for $2.00, 3 days a week.
    Weekly iced coffee cost = 1 iced coffee/day * $2.00/iced coffee * 3 days/week = $6.00

3.  **Calculate total weekly coffee cost:**
    Total weekly cost = Weekly latte cost + Weekly iced coffee cost
    Total weekly cost = $20.00 + $6.00 = $26.00

4.  **Calculate total annual coffee cost (assuming 52 weeks in a year):**
    Total annual cost = Total weekly cost * 52 weeks/year
    Total annual cost = $26.00/week * 52 weeks/year = $1352.00

5.  **Calculate the amount she wants to save:**
    Her goal is to cut her coffee spending by 25%.
    Amount to save = 25% of Total annual cost
    Amount to save = 0.25 * $1352.00 = $338.00

####
$338.00",True
"Jean is trying to motivate herself to write her final paper. She eats one donut per 2 pages that she writes. If she writes 12 pages and each donut has 150 calories, how many calories does she eat?","First find the total number of donuts Jean eats: 12 pages / 2 pages/donut = <<12/2=6>>6 donuts
Then multiply that number by the number of calories per donut to find the total number of calories she eats: 6 donuts * 150 calories/donut = <<6*150=900>>900 calories
#### 900","Jean eats one donut for every 2 pages she writes.
She writes 12 pages.
To find out how many donuts she eats, we need to divide the total number of pages written by the number of pages per donut.
Number of donuts = Total pages written / Pages per donut
Number of donuts = 12 pages / 2 pages/donut
Number of donuts = 6 donuts

Each donut has 150 calories.
To find the total number of calories Jean eats, we need to multiply the number of donuts by the calories per donut.
Total calories = Number of donuts * Calories per donut
Total calories = 6 donuts * 150 calories/donut
Total calories = 900 calories

####
900",True
"A class of 30 high school students is preparing for a field trip. If each student contributes $2 every Friday for their trip, how many dollars will they have in 2 months?","They save 30 students * $2/student/week = $<<30*2=60>>60/week
They saved for 2 months which is 2 months * 4 weeks/month = <<2*4=8>>8 weeks
So in 2 months, they will have $60/week * 8 weeks = $<<60*8=480>>480
#### 480","Let's think step by step.
The number of students in the class is 30.
Each student contributes $2 every Friday.
We need to find the total amount of money they will have in 2 months.

First, let's determine the number of Fridays in 2 months.
Assuming a month has approximately 4 weeks, then 2 months will have approximately 2 * 4 = 8 weeks.
Since there is one Friday per week, there will be approximately 8 Fridays in 2 months.

Next, let's calculate the total contribution per Friday for the entire class.
Total contribution per Friday = (Number of students) * (Contribution per student per Friday)
Total contribution per Friday = 30 students * $2/student = $60.

Now, let's calculate the total amount of money collected in 2 months.
Total money in 2 months = (Total contribution per Friday) * (Number of Fridays in 2 months)
Total money in 2 months = $60/Friday * 8 Fridays = $480.

Alternatively, we can calculate the total contribution per student over 2 months first.
Number of Fridays in 2 months = 8 Fridays.
Total contribution per student in 2 months = (Contribution per student per Friday) * (Number of Fridays in 2 months)
Total contribution per student in 2 months = $2/Friday * 8 Fridays = $16.

Then, calculate the total amount of money collected for the entire class.
Total money in 2 months = (Total contribution per student in 2 months) * (Number of students)
Total money in 2 months = $16/student * 30 students = $480.

####
480",True
