question,answer,llm_answer,model_parsed,correct_parsed,is_correct
"Nina has four times more math homework and eight times more reading homework than Ruby. If Ruby has six math homework and two reading homework, how much homework is Nina having altogether?","Nina has four times more math homework than Ruby, meaning she has 6*4 = <<4*6=24>>24 more math homework than Ruby.
The total number of math homework that Nina has is 24+6= <<24+6=30>>30
Nina also has eight times more reading homework than Ruby, a total of 8*2 = <<8*2=16>>16 more reading homework.
In total, Nina has 16+2 = <<16+2=18>>18 reading homework.
Altogether, Ruby has 18+30 = <<18+30=48>>48 homework.
#### 48","Let $M_R$ be the amount of math homework Ruby has, and $R_R$ be the amount of reading homework Ruby has.
Let $M_N$ be the amount of math homework Nina has, and $R_N$ be the amount of reading homework Nina has.

We are given:
Ruby has six math homework: $M_R = 6$
Ruby has two reading homework: $R_R = 2$

Nina has four times more math homework than Ruby. This means Nina has Ruby's homework plus four times Ruby's homework.
$M_N = M_R + 4 \times M_R = 5 \times M_R$
$M_N = 5 \times 6 = 30$

Nina has eight times more reading homework than Ruby. This means Nina has Ruby's homework plus eight times Ruby's homework.
$R_N = R_R + 8 \times R_R = 9 \times R_R$
$R_N = 9 \times 2 = 18$

To find the total homework Nina has altogether, we add her math homework and reading homework.
Total homework for Nina = $M_N + R_N$
Total homework for Nina = $30 + 18 = 48$

#### 48",48.0,48.0,True
"In San Diego Zoo, the lion consumes 25 kilograms of meat, and the tiger consumes 20 kilograms of meat per day. If they have 90 kilograms of meat, how many days will the meats last?","The lion and tiger's daily consumption of meat is 25 + 20 = <<25+20=45>>45 kilograms.
Therefore, their supply of meat will last for 90/45= <<90/45=2>>2 days.
#### 2","The lion consumes 25 kilograms of meat per day.
The tiger consumes 20 kilograms of meat per day.
Together, the lion and the tiger consume 25 kg + 20 kg = 45 kilograms of meat per day.
They have a total of 90 kilograms of meat.
To find out how many days the meat will last, we divide the total amount of meat by the daily consumption:
Number of days = Total meat / Daily consumption
Number of days = 90 kg / 45 kg/day
Number of days = 2 days.

#### 2",2.0,2.0,True
"Paul and his sister Paula went to the cookie store to buy some cookies. Paula bought 3 fewer cookies than Paul, who bought 45 cookies. How many cookies do they have altogether?","Paula bought 45 cookies - 3 cookies = <<45-3=42>>42 cookies.
In total, they have 42 cookies + 45 cookies = <<42+45=87>>87 cookies.
#### 87","Let P be the number of cookies Paul bought.
Let Pa be the number of cookies Paula bought.

We are given that Paul bought 45 cookies.
So, P = 45.

We are given that Paula bought 3 fewer cookies than Paul.
So, Pa = P - 3.

Substitute the value of P into the equation for Pa:
Pa = 45 - 3
Pa = 42.

To find the total number of cookies they have altogether, we add the number of cookies Paul bought and the number of cookies Paula bought.
Total cookies = P + Pa.

Substitute the values of P and Pa into the equation for total cookies:
Total cookies = 45 + 42.
Total cookies = 87.

#### 87",87.0,87.0,True
"My brother and I have thirty minutes to go to school, without being late. It takes us 15 minutes to arrive at the school gate, and another 6 minutes to get to the school building. How much time do we have to get to our room, without being late?","The total time we spent going to school is 15 minutes + 6 minutes = <<15+6=21>>21 minutes.
We have 30 minutes - 21 minutes = <<30-21=9>>9 minutes left not to be late.
#### 9","The total time available to get to school without being late is 30 minutes.
The time it takes to arrive at the school gate is 15 minutes.
The time it takes to get from the school gate to the school building is 6 minutes.

First, calculate the total time spent traveling from the starting point to the school building:
Time to school gate + Time from gate to building = 15 minutes + 6 minutes = 21 minutes.

Next, calculate the remaining time available to get to the room from the school building:
Total time available - Time to reach school building = 30 minutes - 21 minutes = 9 minutes.

#### 9 minutes",9.0,9.0,True
Sally needs to make a tablecloth that measures 102 inches by 54 inches. She also needs to make 8 napkins that are 6 by 7 inches. How many square inches of material will Sally need to make the tablecloth and the 8 napkins?,"Tablecloth = 102 * 54 = <<102*54=5508>>5508 square inches
Napkins = 8 * (6 * 7) = <<8*(6*7)=336>>336 square inches
5508 + 336 = <<5508+336=5844>>5844 square inches
Sally will need 5844 square inches of material to make the tablecloth and 8 napkins.
#### 5844","First, we need to calculate the area of the tablecloth.
The dimensions of the tablecloth are 102 inches by 54 inches.
Area of tablecloth = length × width
Area of tablecloth = 102 inches × 54 inches
Area of tablecloth = 5508 square inches.

Next, we need to calculate the area of one napkin.
The dimensions of each napkin are 6 inches by 7 inches.
Area of one napkin = length × width
Area of one napkin = 6 inches × 7 inches
Area of one napkin = 42 square inches.

Now, we need to calculate the total area for all 8 napkins.
Total area of napkins = Area of one napkin × number of napkins
Total area of napkins = 42 square inches × 8
Total area of napkins = 336 square inches.

Finally, we need to find the total amount of material needed for both the tablecloth and the napkins.
Total material needed = Area of tablecloth + Total area of napkins
Total material needed = 5508 square inches + 336 square inches
Total material needed = 5844 square inches.

#### 5844",5844.0,5844.0,True
"Bess and Holly are playing Frisbee at the park. Bess can throw the Frisbee as far as 20 meters and she does this 4 times. Holly can only throw the Frisbee as far as 8 meters and she does this 5 times. Each time Bess throws a Frisbee, she throws it back to her original position. Holly leaves her Frisbee where it lands every time she throws it. In total, how many meters have the thrown Frisbees traveled?","Bess throws the Frisbee out 4 times * 20 meters each time = <<4*20=80>>80 meters.
She then throws it back which doubles the distance traveled to 80 meters * 2 = <<80*2=160>>160 meters.
Holly throws the Frisbee out 5 times * 8 meters = <<5*8=40>>40 meters.
So in total, Holly and Bess have thrown the Frisbees 160 + 40 = <<160+40=200>>200 meters.
#### 200","Answer: Let's think step by step.
First, we need to calculate the total distance Bess throws the Frisbee.
Bess throws the Frisbee 20 meters, and she does this 4 times.
Bess's total distance = 20 meters/throw * 4 throws = 80 meters.

Next, we need to calculate the total distance Holly throws the Frisbee.
Holly throws the Frisbee 8 meters, and she does this 5 times.
Holly's total distance = 8 meters/throw * 5 throws = 40 meters.

The problem states that Bess throws the Frisbee back to her original position each time. This means the Frisbee travels 20 meters out and 20 meters back for each throw. So, for Bess, each throw covers 20 meters * 2 = 40 meters.
Bess's total distance = 40 meters/throw * 4 throws = 160 meters.

Holly leaves her Frisbee where it lands every time she throws it. This means the Frisbee only travels the distance of the throw.
Holly's total distance = 8 meters/throw * 5 throws = 40 meters.

Finally, we need to find the total meters the thrown Frisbees have traveled.
Total distance = Bess's total distance + Holly's total distance
Total distance = 160 meters + 40 meters = 200 meters.

#### 200",200.0,200.0,True
Aunt May milks her cows twice a day. This morning she got 365 gallons of milk. This evening she got 380 gallons. She sold 612 gallons to the local ice cream factory.  She had 15 gallons left over from yesterday.  How many gallons of milk does she have left?,"Today Aunt May's cows gave her 365 gallons + 380 = <<365+380=745>>745 gallons of milk.
She had 745 gallons - 612 gallons sold to the ice cream factory = <<745-612=133>>133 gallons of milk left.
Combined with the leftover from yesterday, Aunt May has 133 gallons + 15 gallons = <<133+15=148>>148 gallons of milk.
#### 148","First, we need to calculate the total amount of milk Aunt May collected today.
Milk collected this morning = 365 gallons
Milk collected this evening = 380 gallons
Total milk collected today = 365 + 380 = 745 gallons.

Next, we need to determine the total amount of milk Aunt May had available to sell, including the leftover milk from yesterday.
Milk from yesterday = 15 gallons
Total milk available = Total milk collected today + Milk from yesterday
Total milk available = 745 + 15 = 760 gallons.

Now, we need to subtract the amount of milk sold to the ice cream factory from the total milk available.
Milk sold = 612 gallons
Milk remaining = Total milk available - Milk sold
Milk remaining = 760 - 612 = 148 gallons.

#### 148",148.0,148.0,True
"Venus is at the deli to get subs for a party. She needs 81 inches of sub. The shop sells 5 and 8 inch subs. If she buys two 8 inch subs, how many 5 inch subs does she need to buy?","The two 8 inch subs total 16 inches because 2 x 8 = <<2*8=16>>16
She still needs 65 inches of sub because 81-16 = <<81-16=65>>65
She needs to buy 13 five inch subs because 65 / 5 = <<65/5=13>>13
#### 13","The total length of sub needed is 81 inches.
Venus buys two 8-inch subs.
The total length from the two 8-inch subs is $2 \times 8 \text{ inches} = 16 \text{ inches}$.
The remaining length of sub needed is $81 \text{ inches} - 16 \text{ inches} = 65 \text{ inches}$.
The shop sells 5-inch subs.
To find out how many 5-inch subs are needed to cover the remaining 65 inches, we divide the remaining length by the length of each 5-inch sub:
Number of 5-inch subs = $\frac{65 \text{ inches}}{5 \text{ inches/sub}} = 13 \text{ subs}$.

#### 13",13.0,13.0,True
James gets a fleet of gas transportation vans.  He gets 6 vans.  2 of them are 8000 gallons.  1 of them is 30% less than that.  The remaining trucks are 50% larger than the 2 trucks.  How many gallons can he transport?,"His smaller truck is 8000*.3=<<8000*.3=2400>>2400 gallons smaller
So it can transport 8000-2400=<<8000-2400=5600>>5600 gallons
There are 6-2-1=<<6-2-1=3>>3 of the very large trucks
Those trucks are each 8000*.5=<<8000*.5=4000>>4000 gallons larger
So they can transport 8000+4000=<<8000+4000=12000>>12000 gallons
So in total they transport 3*12000=<<3*12000=36000>>36000
The 8000-gallon trucks can transport 8000*2=<<8000*2=16000>>16000 gallons
So in total he can transport 5600+16000+36000=<<5600+16000+36000=57600>>57600 gallons
#### 57600","The problem asks for the total number of gallons James can transport with his fleet of 6 vans. We are given information about the capacities of different groups of vans.

**Step 1: Calculate the capacity of the vans that are 30% less than 8000 gallons.**
One van has a capacity that is 30% less than 8000 gallons.
30% of 8000 gallons = 0.30 * 8000 = 2400 gallons.
The capacity of this van is 8000 - 2400 = 5600 gallons.

**Step 2: Calculate the capacity of the remaining trucks that are 50% larger than the first two trucks.**
There are 6 vans in total. We know the capacity of 2 vans (8000 gallons each) and 1 van (5600 gallons).
The remaining trucks are 6 - 2 - 1 = 3 trucks.
These 3 trucks are 50% larger than the first two trucks (which are 8000 gallons each).
50% of 8000 gallons = 0.50 * 8000 = 4000 gallons.
The capacity of each of these remaining trucks is 8000 + 4000 = 12000 gallons.

**Step 3: Calculate the total capacity of all the vans.**
Total capacity = (Capacity of the first 2 vans) + (Capacity of the 1 van that is 30% less) + (Capacity of the remaining 3 vans)
Total capacity = (2 * 8000 gallons) + (5600 gallons) + (3 * 12000 gallons)
Total capacity = 16000 gallons + 5600 gallons + 36000 gallons
Total capacity = 57600 gallons.

#### 57600",57600.0,57600.0,True
A family went out to see a movie. The regular ticket costs $9 and the ticket for children is $2 less. They gave the cashier two $20 bills and they received a $1 change. How many children are there if there are 2 adults in the family?,"They gave the cashier $20 x 2 = $<<20*2=40>>40.
Since a $1 change was returned, this means the tickets cost $40 - $1 = $<<40-1=39>>39.
Two adult tickets cost $9 x 2 = $<<9*2=18>>18.
So, $39 - $18 = $<<39-18=21>>21 was spent for the children's tickets.
Each child's ticket costs $9 - $2 = $<<9-2=7>>7.
Therefore, there are $21/$7 = <<21/7=3>>3 children.
#### 3","First, let's determine the cost of a child's ticket.
The regular ticket costs $9.
The ticket for children is $2 less than the regular ticket.
Child ticket cost = $9 - $2 = $7.

Next, let's calculate the total amount of money the family paid.
They gave the cashier two $20 bills.
Total paid = 2 * $20 = $40.

Now, let's determine the total cost of the movie tickets.
They received $1 in change.
Total cost of tickets = Total paid - Change received
Total cost of tickets = $40 - $1 = $39.

We know there are 2 adults in the family, and the cost of an adult ticket is $9.
Cost of adult tickets = 2 * $9 = $18.

Now, let's find the total cost of the children's tickets.
Total cost of children's tickets = Total cost of tickets - Cost of adult tickets
Total cost of children's tickets = $39 - $18 = $21.

Finally, we can determine the number of children.
Each child ticket costs $7.
Number of children = Total cost of children's tickets / Cost per child ticket
Number of children = $21 / $7 = 3.

#### 3",3.0,3.0,True
Zach rented a car for $150 plus 50 cents for each mile. He drove 620 miles on Monday and another 744 miles on Thursday. How much did he spend?,"On Monday Zach spent 620*0.5 = <<620*0.5=310>>310 dollars on miles.
On Thursday Zach spent 744*0.5 = <<744*0.5=372>>372 dollars on miles.
In total, Zach spent 150+310+372 = <<150+310+372=832>>832 dollars.
#### 832","The problem asks for the total cost of renting a car, which includes a fixed rental fee and a per-mile charge. We need to calculate the total mileage driven and then the total cost.

**Step 1: Calculate the total miles driven.**
Zach drove 620 miles on Monday and 744 miles on Thursday.
Total miles = Miles on Monday + Miles on Thursday
Total miles = 620 + 744
Total miles = 1364 miles

**Step 2: Calculate the cost based on mileage.**
The cost per mile is 50 cents, which is equal to $0.50.
Mileage cost = Total miles * Cost per mile
Mileage cost = 1364 * $0.50
Mileage cost = $682

**Step 3: Calculate the total cost of the rental.**
The rental fee is $150, and we need to add the mileage cost to this.
Total cost = Rental fee + Mileage cost
Total cost = $150 + $682
Total cost = $832

#### $832",832.0,832.0,True
"Sidney does 20 jumping jacks on Monday, 36 on Tuesday, 40 on Wednesday, and 50 on Thursday. Brooke does three times as many jumping jacks as Sidney. How many jumping jacks did Brooke do?","Sidney does 20 on Monday + 36 on Tuesday + 40 on Wednesday + 50 on Thursday = <<20+36+40+50=146>>146 jumping jacks.
Brooke does 3 x 146 = <<3*146=438>>438 jumping jacks.
#### 438","Answer: Let's think step by step.
First, we need to find the total number of jumping jacks Sidney did from Monday to Thursday.
Sidney's jumping jacks:
Monday: 20
Tuesday: 36
Wednesday: 40
Thursday: 50

Total jumping jacks for Sidney = 20 + 36 + 40 + 50 = 146 jumping jacks.

The problem states that Brooke does ""three times as many jumping jacks as Sidney"". This means we need to multiply Sidney's total by 3.

Brooke's jumping jacks = 3 * (Sidney's total jumping jacks)
Brooke's jumping jacks = 3 * 146

Now, we calculate the product:
3 * 146 = 438

So, Brooke did 438 jumping jacks.

#### 438",438.0,438.0,True
"Maria's monthly salary is $2000. 20% of her salary goes to paying tax, and 5% goes to insurance. Also, a quarter of the money left after the deductions is spent on utility bills. How much money does Maria have after the deductions and utility bills payment?","Maria's deduction for tax is 2000 x 20% = $<<2000*20*.01=400>>400.
Her deduction for insurance is 2000 x 5% = $<<2000*5*.01=100>>100.
Maria's total deductions is $400 + $100 = $<<400+100=500>>500.
After the deductions, Maria has only $2000 - $500 = $<<2000-500=1500>>1500 left from her salary.
Then, Maria pays $1500/4 = $<<1500/4=375>>375 for the utility bills.
So, Maria has $1500 - $375 = $<<1500-375=1125>>1125 after the deductions and utility bills payment.
#### 1125","First, we need to calculate the total amount deducted for tax and insurance.
Tax deduction = 20% of $2000 = 0.20 * $2000 = $400
Insurance deduction = 5% of $2000 = 0.05 * $2000 = $100
Total deductions = $400 + $100 = $500

Next, we calculate the money left after these deductions.
Money left after deductions = Maria's salary - Total deductions
Money left after deductions = $2000 - $500 = $1500

Now, we need to calculate the amount spent on utility bills, which is a quarter of the money left after deductions.
Utility bills payment = (1/4) * $1500 = $375

Finally, we calculate the money Maria has left after paying for utility bills.
Money remaining = Money left after deductions - Utility bills payment
Money remaining = $1500 - $375 = $1125

#### $1125",1125.0,1125.0,True
